	mass_A
t	frame	x	y	r	θ	ω	pixelx	pixely
1.824000E0	3.648000E3	-1.140831E1	-2.718055E1	2.947765E1	2.472311E2	9.481075E2	7.796749E1	9.199584E1
1.828000E0	3.656000E3	-9.455235E0	-2.780010E1	2.936404E1	2.512161E2	9.692531E2	7.992056E1	9.261538E1
1.832000E0	3.664000E3	-7.567166E0	-2.821171E1	2.920894E1	2.549851E2	9.822475E2	8.180863E1	9.302699E1
1.836000E0	3.672000E3	-5.511585E0	-2.855156E1	2.907867E1	2.590740E2	1.016078E3	8.386421E1	9.336684E1
1.840000E0	3.680000E3	-3.463730E0	-2.868035E1	2.888875E1	2.631137E2	1.004285E3	8.591207E1	9.349564E1
1.844000E0	3.688000E3	-1.448177E0	-2.866974E1	2.870629E1	2.671083E2	9.976468E2	8.792762E1	9.348503E1
1.848000E0	3.696000E3	5.445614E-1	-2.849313E1	2.849834E1	2.710949E2	9.955257E2	8.992036E1	9.330842E1
1.852000E0	3.704000E3	2.508247E0	-2.825744E1	2.836854E1	2.750725E2	1.021598E3	9.188404E1	9.307273E1
1.856000E0	3.712000E3	4.542312E0	-2.783668E1	2.820484E1	2.792677E2	1.059507E3	9.391811E1	9.265196E1
1.860000E0	3.720000E3	6.588039E0	-2.733904E1	2.812162E1	2.835486E2	1.078889E3	9.596384E1	9.215433E1
1.864000E0	3.728000E3	8.572264E0	-2.654214E1	2.789210E1	2.878988E2	1.108189E3	9.794806E1	9.135743E1
1.868000E0	3.736000E3	1.053471E1	-2.554131E1	2.762859E1	2.924141E2	1.133123E3	9.991051E1	9.035660E1
1.872000E0	3.744000E3	1.240437E1	-2.438304E1	2.735692E1	2.969638E2	1.148008E3	1.017802E2	8.919833E1
1.876000E0	3.752000E3	1.423953E1	-2.314770E1	2.717683E1	3.015981E2	1.183730E3	1.036153E2	8.796298E1
1.880000E0	3.760000E3	1.603389E1	-2.172114E1	2.699803E1	3.064336E2	1.211816E3	1.054097E2	8.653643E1
1.884000E0	3.768000E3	1.767962E1	-2.012948E1	2.679114E1	3.112927E2	1.207733E3	1.070554E2	8.494477E1
1.888000E0	3.776000E3	1.915763E1	-1.843870E1	2.658948E1	3.160955E2	1.223231E3	1.085334E2	8.325399E1
1.892000E0	3.784000E3	2.053054E1	-1.657877E1	2.638861E1	3.210785E2	1.264203E3	1.099063E2	8.139406E1
1.896000E0	3.792000E3	2.172920E1	-1.454143E1	2.614596E1	3.262091E2	1.286348E3	1.111050E2	7.935672E1
1.900000E0	3.800000E3	2.273022E1	-1.240872E1	2.589671E1	3.313693E2	1.276781E3	1.121060E2	7.722401E1
