	mass_A
t	frame	x	y	r	θ	ω	pixelx	pixely
4.048000E0	8.096000E3	-2.791545E1	-1.074236E1	2.991105E1	5.610476E2	1.494601E3	6.655589E1	7.616912E1
4.052000E0	8.104000E3	-2.662866E1	-1.357340E1	2.988850E1	5.670093E2	1.520734E3	6.784268E1	7.900015E1
4.056000E0	8.112000E3	-2.500946E1	-1.637414E1	2.989290E1	5.732135E2	1.506899E3	6.946188E1	8.180089E1
4.060000E0	8.120000E3	-2.335814E1	-1.895860E1	3.008374E1	5.790645E2	1.464090E3	7.111319E1	8.438535E1
4.064000E0	8.128000E3	-2.129337E1	-2.123859E1	3.007466E1	5.849262E2	1.494440E3	7.317797E1	8.666534E1
4.068000E0	8.136000E3	-1.896955E1	-2.344215E1	3.015590E1	5.910200E2	1.549148E3	7.550179E1	8.886890E1
4.072000E0	8.144000E3	-1.629260E1	-2.539723E1	3.017396E1	5.973194E2	1.529800E3	7.817874E1	9.082398E1
4.076000E0	8.152000E3	-1.353879E1	-2.687023E1	3.008834E1	6.032584E2	1.508369E3	8.093255E1	9.229698E1
4.080000E0	8.160000E3	-1.054089E1	-2.802330E1	2.994020E1	6.093863E2	1.516101E3	8.393044E1	9.345005E1
4.084000E0	8.168000E3	-7.509311E0	-2.880228E1	2.976509E1	6.153872E2	1.511114E3	8.696203E1	9.422903E1
4.088000E0	8.176000E3	-4.399211E0	-2.934906E1	2.967694E1	6.214752E2	1.544173E3	9.007213E1	9.477581E1
4.092000E0	8.184000E3	-1.165549E0	-2.954122E1	2.956420E1	6.277406E2	1.521184E3	9.330579E1	9.496797E1
4.096000E0	8.192000E3	1.870427E0	-2.936385E1	2.942336E1	6.336447E2	1.527159E3	9.634176E1	9.479060E1
4.100000E0	8.200000E3	5.030277E0	-2.865139E1	2.908962E1	6.399578E2	1.621842E3	9.950161E1	9.407814E1
4.104000E0	8.208000E3	8.259385E0	-2.767124E1	2.887759E1	6.466195E2	1.644044E3	1.027307E2	9.309799E1
4.108000E0	8.216000E3	1.123549E1	-2.632828E1	2.862542E1	6.531102E2	1.640683E3	1.057068E2	9.175503E1
4.112000E0	8.224000E3	1.408076E1	-2.464129E1	2.838065E1	6.597449E2	1.673780E3	1.085521E2	9.006805E1
4.116000E0	8.232000E3	1.673411E1	-2.261450E1	2.813266E1	6.665004E2	1.676492E3	1.112055E2	8.804126E1
4.120000E0	8.240000E3	1.898831E1	-2.025103E1	2.776077E1	6.731569E2	1.662958E3	1.134596E2	8.567778E1
