	mass_A
t	frame	x	y	r	ω	pixelx	pixely
6.634800E1	1.326960E5	2.612060E1	-6.049201E0	2.681191E1	1.302733E3	1.120314E2	7.106831E1
6.635000E1	1.327000E5	2.653626E1	-4.841216E0	2.697426E1	1.307711E3	1.124471E2	6.986032E1
6.635200E1	1.327040E5	2.664115E1	-3.653301E0	2.689047E1	1.420883E3	1.125520E2	6.867241E1
6.635400E1	1.327080E5	2.678571E1	-2.181325E0	2.687438E1	1.440878E3	1.126965E2	6.720043E1
6.635600E1	1.327120E5	2.684843E1	-9.585673E-1	2.686554E1	1.290439E3	1.127593E2	6.597768E1
6.635800E1	1.327160E5	2.688373E1	2.374658E-1	2.688478E1	1.257021E3	1.127946E2	6.478164E1
6.636000E1	1.327200E5	2.673373E1	1.393254E0	2.677001E1	1.380305E3	1.126446E2	6.362585E1
6.636200E1	1.327240E5	2.669302E1	2.818412E0	2.684140E1	1.436349E3	1.126039E2	6.220070E1
6.636400E1	1.327280E5	2.665830E1	4.092970E0	2.697068E1	1.267134E3	1.125691E2	6.092614E1
6.636600E1	1.327320E5	2.652388E1	5.201779E0	2.702915E1	1.164828E3	1.124347E2	5.981733E1
6.636800E1	1.327360E5	2.641219E1	6.286442E0	2.715001E1	1.187354E3	1.123230E2	5.873267E1
6.637000E1	1.327400E5	2.614058E1	7.419343E0	2.717308E1	1.329044E3	1.120514E2	5.759977E1
6.637200E1	1.327440E5	2.598026E1	8.795961E0	2.742887E1	1.364482E3	1.118911E2	5.622315E1
6.637400E1	1.327480E5	2.570634E1	1.002413E1	2.759165E1	1.276138E3	1.116172E2	5.499498E1
6.637600E1	1.327520E5	2.521592E1	1.112615E1	2.756145E1	1.225911E3	1.111267E2	5.389296E1
6.637800E1	1.327560E5	2.483143E1	1.222225E1	2.767641E1	1.219257E3	1.107423E2	5.279685E1
6.638000E1	1.327600E5	2.419090E1	1.323633E1	2.757535E1	1.254948E3	1.101017E2	5.178278E1
